
step 0: train loss 11.0030, val loss 11.0008
iter 0: loss 10.9971, time 225729.45ms, mfu -100.00%
iter 1: loss 11.0000, time 63.17ms, mfu -100.00%
iter 2: loss 10.9106, time 1579.34ms, mfu -100.00%
iter 3: loss 10.6883, time 2271.43ms, mfu -100.00%
iter 4: loss 10.4024, time 1146.88ms, mfu -100.00%
iter 5: loss 10.0918, time 2252.55ms, mfu 1.25%
iter 6: loss 9.8470, time 1132.88ms, mfu 1.37%
iter 7: loss 9.6437, time 2276.37ms, mfu 1.35%
iter 8: loss 9.4079, time 1132.72ms, mfu 1.47%
iter 9: loss 9.2326, time 2242.98ms, mfu 1.45%
iter 10: loss 9.1365, time 1137.07ms, mfu 1.55%
iter 11: loss 8.9555, time 2252.02ms, mfu 1.52%
iter 12: loss 8.8657, time 1132.73ms, mfu 1.61%
iter 13: loss 8.7359, time 2249.68ms, mfu 1.58%
iter 14: loss 8.7393, time 1144.28ms, mfu 1.66%
iter 15: loss 8.5866, time 2256.59ms, mfu 1.62%
iter 16: loss 8.4964, time 1135.14ms, mfu 1.71%
iter 17: loss 8.4631, time 2267.58ms, mfu 1.66%
iter 18: loss 8.3963, time 1133.89ms, mfu 1.74%
iter 19: loss 8.2697, time 2252.43ms, mfu 1.69%
iter 20: loss 8.2783, time 1137.36ms, mfu 1.77%
iter 21: loss 8.1282, time 2251.49ms, mfu 1.72%
iter 22: loss 8.1917, time 1133.06ms, mfu 1.79%
iter 23: loss 8.1169, time 2248.12ms, mfu 1.74%
iter 24: loss 7.9993, time 1136.06ms, mfu 1.81%
iter 25: loss 8.0486, time 2256.57ms, mfu 1.75%
iter 26: loss 8.0426, time 1134.47ms, mfu 1.83%
iter 27: loss 8.0753, time 2253.05ms, mfu 1.77%
iter 28: loss 7.9087, time 1133.04ms, mfu 1.84%
iter 29: loss 7.8685, time 2293.60ms, mfu 1.78%
iter 30: loss 7.8579, time 1202.35ms, mfu 1.83%
iter 31: loss 7.8439, time 2319.73ms, mfu 1.77%
iter 32: loss 7.7099, time 1197.85ms, mfu 1.83%
iter 33: loss 7.7495, time 2258.30ms, mfu 1.77%
iter 34: loss 7.6224, time 1136.79ms, mfu 1.84%
iter 35: loss 7.5530, time 2264.49ms, mfu 1.78%
iter 36: loss 7.5716, time 1147.49ms, mfu 1.85%
iter 37: loss 7.5389, time 2296.82ms, mfu 1.78%
iter 38: loss 7.5495, time 1181.30ms, mfu 1.84%
iter 39: loss 7.3907, time 2304.38ms, mfu 1.78%
iter 40: loss 7.4079, time 1146.95ms, mfu 1.85%
iter 41: loss 7.3671, time 2269.25ms, mfu 1.79%
iter 42: loss 7.3307, time 1146.71ms, mfu 1.85%
iter 43: loss 7.2494, time 2215.14ms, mfu 1.79%
iter 44: loss 7.1372, time 1132.15ms, mfu 1.86%
iter 45: loss 7.1467, time 2219.55ms, mfu 1.80%
iter 46: loss 7.1069, time 1163.97ms, mfu 1.86%
iter 47: loss 6.9716, time 2249.00ms, mfu 1.80%
iter 48: loss 7.0515, time 1127.39ms, mfu 1.87%
iter 49: loss 6.9508, time 2264.17ms, mfu 1.81%
iter 50: loss 6.8355, time 1163.96ms, mfu 1.87%
iter 51: loss 6.9020, time 2262.88ms, mfu 1.80%
iter 52: loss 6.9257, time 1144.47ms, mfu 1.87%
iter 53: loss 6.8620, time 2269.97ms, mfu 1.81%
iter 54: loss 6.6773, time 1187.47ms, mfu 1.86%
iter 55: loss 6.6398, time 2242.77ms, mfu 1.80%
iter 56: loss 6.6642, time 1159.50ms, mfu 1.86%
iter 57: loss 6.6463, time 2244.84ms, mfu 1.80%
iter 58: loss 6.5858, time 1145.08ms, mfu 1.87%
iter 59: loss 6.4635, time 2255.03ms, mfu 1.80%
iter 60: loss 6.4176, time 1157.86ms, mfu 1.87%
iter 61: loss 6.2872, time 2257.72ms, mfu 1.80%
iter 62: loss 6.4204, time 1133.39ms, mfu 1.87%
iter 63: loss 6.2989, time 2215.57ms, mfu 1.81%
iter 64: loss 6.3272, time 1125.50ms, mfu 1.88%
iter 65: loss 6.2192, time 2218.42ms, mfu 1.82%
iter 66: loss 6.1529, time 1123.26ms, mfu 1.89%
iter 67: loss 6.1301, time 2228.23ms, mfu 1.82%
iter 68: loss 6.1246, time 1129.35ms, mfu 1.89%
iter 69: loss 6.0453, time 2221.83ms, mfu 1.83%
iter 70: loss 6.0156, time 1124.38ms, mfu 1.89%
iter 71: loss 5.9064, time 2210.09ms, mfu 1.83%
iter 72: loss 5.9926, time 1123.78ms, mfu 1.90%
iter 73: loss 5.8902, time 2224.38ms, mfu 1.83%
iter 74: loss 5.8883, time 1138.37ms, mfu 1.90%
iter 75: loss 5.7867, time 2224.48ms, mfu 1.83%
iter 76: loss 5.7080, time 1130.77ms, mfu 1.90%
iter 77: loss 5.7731, time 2241.58ms, mfu 1.83%
iter 78: loss 5.7023, time 1131.65ms, mfu 1.90%
iter 79: loss 5.7187, time 2273.71ms, mfu 1.83%
iter 80: loss 5.5637, time 1180.33ms, mfu 1.89%
iter 81: loss 5.6155, time 2303.72ms, mfu 1.82%
iter 82: loss 5.4377, time 1163.63ms, mfu 1.88%
iter 83: loss 5.5278, time 2230.92ms, mfu 1.82%
iter 84: loss 5.4903, time 1142.89ms, mfu 1.88%
iter 85: loss 5.4478, time 2296.38ms, mfu 1.81%
iter 86: loss 5.5176, time 1137.36ms, mfu 1.88%
iter 87: loss 5.4131, time 2306.35ms, mfu 1.81%
iter 88: loss 5.3235, time 1135.39ms, mfu 1.88%
iter 89: loss 5.3558, time 2237.06ms, mfu 1.82%
iter 90: loss 5.3718, time 1138.04ms, mfu 1.88%
iter 91: loss 5.5085, time 2235.10ms, mfu 1.82%
iter 92: loss 5.3299, time 1171.02ms, mfu 1.88%
iter 93: loss 5.3142, time 2293.42ms, mfu 1.81%
iter 94: loss 5.3375, time 1143.72ms, mfu 1.88%
iter 95: loss 5.2629, time 2265.12ms, mfu 1.81%
iter 96: loss 5.2391, time 1131.52ms, mfu 1.88%
iter 97: loss 5.1851, time 2262.07ms, mfu 1.81%
iter 98: loss 5.1748, time 1129.27ms, mfu 1.88%
iter 99: loss 5.0550, time 2277.96ms, mfu 1.82%
iter 100: loss 5.1784, time 1136.00ms, mfu 1.88%
iter 101: loss 5.1516, time 2243.03ms, mfu 1.82%
iter 102: loss 5.2720, time 1134.20ms, mfu 1.88%
iter 103: loss 5.1258, time 2225.97ms, mfu 1.82%
iter 104: loss 5.2176, time 1130.45ms, mfu 1.89%
iter 105: loss 5.2096, time 2277.47ms, mfu 1.82%
iter 106: loss 5.0906, time 1133.78ms, mfu 1.89%
iter 107: loss 5.0546, time 2300.15ms, mfu 1.82%
iter 108: loss 5.1209, time 1170.41ms, mfu 1.88%
iter 109: loss 5.0707, time 2352.51ms, mfu 1.81%
iter 110: loss 5.0326, time 1131.42ms, mfu 1.88%
iter 111: loss 5.0998, time 2331.96ms, mfu 1.81%
iter 112: loss 5.0198, time 1163.40ms, mfu 1.87%
iter 113: loss 5.0456, time 2382.47ms, mfu 1.80%
iter 114: loss 4.8771, time 1168.79ms, mfu 1.86%
iter 115: loss 4.9972, time 2283.17ms, mfu 1.80%
iter 116: loss 4.9512, time 1201.63ms, mfu 1.85%
iter 117: loss 4.9896, time 2260.96ms, mfu 1.79%
iter 118: loss 5.0052, time 1136.40ms, mfu 1.86%
iter 119: loss 4.9627, time 2225.78ms, mfu 1.80%
iter 120: loss 5.0844, time 1133.31ms, mfu 1.87%
iter 121: loss 4.9175, time 2243.80ms, mfu 1.80%
iter 122: loss 4.9406, time 1134.53ms, mfu 1.87%
iter 123: loss 4.7843, time 2218.74ms, mfu 1.81%
iter 124: loss 4.9729, time 1139.31ms, mfu 1.88%
iter 125: loss 4.8545, time 2231.71ms, mfu 1.81%
iter 126: loss 4.8842, time 1135.91ms, mfu 1.88%
iter 127: loss 4.8629, time 2240.24ms, mfu 1.82%
iter 128: loss 4.9390, time 1135.30ms, mfu 1.88%
iter 129: loss 4.8509, time 2236.70ms, mfu 1.82%
iter 130: loss 4.8713, time 1133.88ms, mfu 1.88%
iter 131: loss 4.7989, time 2230.02ms, mfu 1.82%
iter 132: loss 4.9114, time 1138.01ms, mfu 1.89%
iter 133: loss 4.9295, time 2236.23ms, mfu 1.82%
iter 134: loss 4.8872, time 1137.39ms, mfu 1.89%
iter 135: loss 4.8247, time 2233.87ms, mfu 1.82%
iter 136: loss 4.7590, time 1132.07ms, mfu 1.89%
iter 137: loss 4.8311, time 2239.60ms, mfu 1.83%
iter 138: loss 4.7409, time 1136.00ms, mfu 1.89%
iter 139: loss 4.9456, time 2227.63ms, mfu 1.83%
iter 140: loss 4.7964, time 1134.86ms, mfu 1.89%
iter 141: loss 4.8046, time 2222.69ms, mfu 1.83%
iter 142: loss 4.8475, time 1134.16ms, mfu 1.89%
iter 143: loss 4.8311, time 2247.70ms, mfu 1.83%
iter 144: loss 4.8135, time 1131.02ms, mfu 1.89%
iter 145: loss 4.8383, time 2230.88ms, mfu 1.83%
iter 146: loss 4.7739, time 1137.40ms, mfu 1.89%
iter 147: loss 4.7074, time 2233.38ms, mfu 1.83%
iter 148: loss 4.7590, time 1135.09ms, mfu 1.89%
iter 149: loss 4.7513, time 2234.07ms, mfu 1.83%
iter 150: loss 4.7955, time 1133.33ms, mfu 1.89%
iter 151: loss 4.7850, time 2236.57ms, mfu 1.83%
iter 152: loss 4.7236, time 1132.31ms, mfu 1.90%
iter 153: loss 4.7256, time 2226.32ms, mfu 1.83%
iter 154: loss 4.9383, time 1140.16ms, mfu 1.89%
iter 155: loss 4.7409, time 2223.03ms, mfu 1.83%
iter 156: loss 4.7933, time 1142.51ms, mfu 1.89%
iter 157: loss 4.6858, time 2223.28ms, mfu 1.83%
iter 158: loss 4.7940, time 1121.37ms, mfu 1.90%
iter 159: loss 4.7424, time 2225.30ms, mfu 1.83%
iter 160: loss 4.7141, time 1127.00ms, mfu 1.90%
iter 161: loss 4.7543, time 2215.13ms, mfu 1.84%
iter 162: loss 4.7308, time 1124.43ms, mfu 1.90%
iter 163: loss 4.6134, time 2226.17ms, mfu 1.84%
iter 164: loss 4.7572, time 1126.68ms, mfu 1.90%
iter 165: loss 4.6787, time 2236.97ms, mfu 1.84%
iter 166: loss 4.6993, time 1124.06ms, mfu 1.90%
iter 167: loss 4.7389, time 2218.98ms, mfu 1.84%
iter 168: loss 4.6339, time 1125.61ms, mfu 1.91%
iter 169: loss 4.6183, time 2222.84ms, mfu 1.84%
iter 170: loss 4.6919, time 1130.01ms, mfu 1.91%
iter 171: loss 4.6484, time 2226.76ms, mfu 1.84%
iter 172: loss 4.6054, time 1126.85ms, mfu 1.91%
iter 173: loss 4.7205, time 2219.58ms, mfu 1.84%
iter 174: loss 4.5465, time 1122.59ms, mfu 1.91%
iter 175: loss 4.6478, time 2224.51ms, mfu 1.84%
iter 176: loss 4.7310, time 1123.51ms, mfu 1.91%
iter 177: loss 4.7438, time 2229.59ms, mfu 1.84%
iter 178: loss 4.6581, time 1124.78ms, mfu 1.91%
iter 179: loss 4.5829, time 2229.78ms, mfu 1.84%
iter 180: loss 4.6940, time 1126.89ms, mfu 1.91%
iter 181: loss 4.6362, time 2218.65ms, mfu 1.84%
iter 182: loss 4.6859, time 1125.34ms, mfu 1.91%
iter 183: loss 4.6682, time 2220.14ms, mfu 1.84%
iter 184: loss 4.6182, time 1122.48ms, mfu 1.91%
iter 185: loss 4.6599, time 2215.55ms, mfu 1.85%
iter 186: loss 4.6115, time 1123.52ms, mfu 1.91%
iter 187: loss 4.5770, time 2209.27ms, mfu 1.85%
iter 188: loss 4.7026, time 1126.30ms, mfu 1.91%
iter 189: loss 4.6827, time 2225.20ms, mfu 1.85%
iter 190: loss 4.7109, time 1120.76ms, mfu 1.91%
iter 191: loss 4.7781, time 2212.18ms, mfu 1.85%
iter 192: loss 4.7151, time 1126.19ms, mfu 1.91%
iter 193: loss 4.6733, time 2224.02ms, mfu 1.85%
iter 194: loss 4.6672, time 1126.40ms, mfu 1.91%
iter 195: loss 4.5913, time 2216.78ms, mfu 1.85%
iter 196: loss 4.5751, time 1120.83ms, mfu 1.91%
iter 197: loss 4.6379, time 2217.12ms, mfu 1.85%
iter 198: loss 4.6033, time 1121.67ms, mfu 1.91%
iter 199: loss 4.6701, time 2225.30ms, mfu 1.85%
iter 200: loss 4.6736, time 1125.69ms, mfu 1.91%
iter 201: loss 4.5963, time 2229.10ms, mfu 1.85%
iter 202: loss 4.7012, time 1123.26ms, mfu 1.91%
iter 203: loss 4.6582, time 2213.87ms, mfu 1.85%
iter 204: loss 4.6261, time 1124.37ms, mfu 1.91%
iter 205: loss 4.6265, time 2226.66ms, mfu 1.85%
iter 206: loss 4.5810, time 1123.86ms, mfu 1.91%
iter 207: loss 4.5496, time 2213.22ms, mfu 1.85%
iter 208: loss 4.6661, time 1124.72ms, mfu 1.91%
iter 209: loss 4.6617, time 2213.26ms, mfu 1.85%
iter 210: loss 4.5961, time 1127.26ms, mfu 1.91%
iter 211: loss 4.6923, time 2221.78ms, mfu 1.85%
iter 212: loss 4.6182, time 1127.77ms, mfu 1.91%
iter 213: loss 4.5417, time 2222.40ms, mfu 1.85%
iter 214: loss 4.6207, time 1128.49ms, mfu 1.91%
iter 215: loss 4.6127, time 2217.79ms, mfu 1.85%
iter 216: loss 4.5938, time 1124.56ms, mfu 1.91%
iter 217: loss 4.5564, time 2227.55ms, mfu 1.85%
iter 218: loss 4.6211, time 1130.43ms, mfu 1.91%
iter 219: loss 4.5697, time 2219.05ms, mfu 1.84%
iter 220: loss 4.7007, time 1127.22ms, mfu 1.91%
iter 221: loss 4.6007, time 2220.41ms, mfu 1.84%
iter 222: loss 4.6544, time 1123.80ms, mfu 1.91%
iter 223: loss 4.6529, time 2239.75ms, mfu 1.84%
iter 224: loss 4.5550, time 1122.27ms, mfu 1.91%
iter 225: loss 4.5934, time 2220.55ms, mfu 1.84%
iter 226: loss 4.5525, time 1124.07ms, mfu 1.91%
iter 227: loss 4.6296, time 2210.40ms, mfu 1.85%
iter 228: loss 4.4949, time 1121.90ms, mfu 1.91%
iter 229: loss 4.5569, time 2227.52ms, mfu 1.85%
iter 230: loss 4.6066, time 1122.22ms, mfu 1.91%
iter 231: loss 4.5856, time 2229.04ms, mfu 1.85%
iter 232: loss 4.6532, time 1123.60ms, mfu 1.91%
iter 233: loss 4.5527, time 2211.66ms, mfu 1.85%
iter 234: loss 4.5248, time 1126.45ms, mfu 1.91%
iter 235: loss 4.5590, time 2213.24ms, mfu 1.85%
iter 236: loss 4.5222, time 1123.98ms, mfu 1.91%
iter 237: loss 4.5771, time 2221.27ms, mfu 1.85%
iter 238: loss 4.5365, time 1124.91ms, mfu 1.91%
iter 239: loss 4.5829, time 2218.13ms, mfu 1.85%
iter 240: loss 4.5746, time 1123.17ms, mfu 1.91%
iter 241: loss 4.6105, time 2216.96ms, mfu 1.85%
iter 242: loss 4.5952, time 1125.68ms, mfu 1.91%
iter 243: loss 4.5344, time 2221.47ms, mfu 1.85%
iter 244: loss 4.5206, time 1129.29ms, mfu 1.91%
iter 245: loss 4.5701, time 2207.23ms, mfu 1.85%
iter 246: loss 4.5130, time 1129.98ms, mfu 1.91%
iter 247: loss 4.5569, time 2211.05ms, mfu 1.85%
iter 248: loss 4.3699, time 1121.97ms, mfu 1.91%
iter 249: loss 4.4466, time 2218.41ms, mfu 1.85%
step 250: train loss 4.5294, val loss 4.4985
saving checkpoint to out-rocstories_guan
iter 250: loss 4.5530, time 197224.33ms, mfu 1.66%
iter 251: loss 4.5929, time 2232.59ms, mfu 1.62%
iter 252: loss 4.5371, time 1146.81ms, mfu 1.71%
iter 253: loss 4.5075, time 2256.81ms, mfu 1.66%
iter 254: loss 4.4735, time 1128.72ms, mfu 1.74%
iter 255: loss 4.4650, time 2223.11ms, mfu 1.69%
iter 256: loss 4.5403, time 1127.86ms, mfu 1.77%
iter 257: loss 4.4152, time 2239.77ms, mfu 1.72%
iter 258: loss 4.4667, time 1124.09ms, mfu 1.80%
iter 259: loss 4.5559, time 2216.72ms, mfu 1.75%
iter 260: loss 4.5530, time 1121.02ms, mfu 1.82%
iter 261: loss 4.5213, time 2225.47ms, mfu 1.76%
iter 262: loss 4.5753, time 1123.26ms, mfu 1.84%
iter 263: loss 4.5333, time 2233.68ms, mfu 1.78%
iter 264: loss 4.5661, time 1125.50ms, mfu 1.85%
iter 265: loss 4.6032, time 2218.45ms, mfu 1.79%
iter 266: loss 4.4678, time 1123.38ms, mfu 1.86%
iter 267: loss 4.5554, time 2213.17ms, mfu 1.80%
iter 268: loss 4.6274, time 1124.47ms, mfu 1.87%
iter 269: loss 4.4177, time 2223.44ms, mfu 1.81%
iter 270: loss 4.6167, time 1122.76ms, mfu 1.88%
iter 271: loss 4.5133, time 2222.31ms, mfu 1.82%
iter 272: loss 4.4345, time 1122.36ms, mfu 1.89%
iter 273: loss 4.5060, time 2222.66ms, mfu 1.82%
iter 274: loss 4.4599, time 1126.09ms, mfu 1.89%
iter 275: loss 4.5139, time 2218.86ms, mfu 1.83%
iter 276: loss 4.5669, time 1124.85ms, mfu 1.89%
iter 277: loss 4.4754, time 2218.76ms, mfu 1.83%
iter 278: loss 4.5660, time 1129.36ms, mfu 1.90%
iter 279: loss 4.3402, time 2216.24ms, mfu 1.83%
iter 280: loss 4.5549, time 1126.73ms, mfu 1.90%
iter 281: loss 4.5137, time 2219.66ms, mfu 1.84%
iter 282: loss 4.4608, time 1126.99ms, mfu 1.90%
iter 283: loss 4.4941, time 2216.24ms, mfu 1.84%
iter 284: loss 4.4824, time 1125.00ms, mfu 1.90%
iter 285: loss 4.4611, time 2217.26ms, mfu 1.84%
iter 286: loss 4.3978, time 1127.33ms, mfu 1.90%
iter 287: loss 4.5262, time 2213.69ms, mfu 1.84%
iter 288: loss 4.5914, time 1124.35ms, mfu 1.91%
iter 289: loss 4.4011, time 2216.01ms, mfu 1.84%
iter 290: loss 4.4754, time 1126.48ms, mfu 1.91%
iter 291: loss 4.5145, time 2221.25ms, mfu 1.84%
iter 292: loss 4.5112, time 1128.36ms, mfu 1.91%
iter 293: loss 4.4572, time 2216.51ms, mfu 1.84%
iter 294: loss 4.4490, time 1124.46ms, mfu 1.91%
iter 295: loss 4.4383, time 2217.24ms, mfu 1.84%
iter 296: loss 4.4924, time 1122.85ms, mfu 1.91%
