
step 0: train loss 4.5682, val loss 4.4975
iter 0: loss 4.5544, time 164386.88ms, mfu -100.00%
iter 1: loss 4.5612, time 44.77ms, mfu -100.00%
iter 2: loss 4.4115, time 135.98ms, mfu -100.00%
iter 3: loss 4.1278, time 141.21ms, mfu -100.00%
iter 4: loss 3.8604, time 140.16ms, mfu -100.00%
iter 5: loss 3.6500, time 141.85ms, mfu 14.42%
iter 6: loss 3.4600, time 140.82ms, mfu 14.43%
iter 7: loss 3.3427, time 145.56ms, mfu 14.40%
iter 8: loss 3.2401, time 138.77ms, mfu 14.43%
iter 9: loss 3.1661, time 143.29ms, mfu 14.42%
iter 10: loss 3.0681, time 140.99ms, mfu 14.43%
iter 11: loss 2.9967, time 142.60ms, mfu 14.42%
iter 12: loss 2.8912, time 139.80ms, mfu 14.44%
iter 13: loss 2.7838, time 142.78ms, mfu 14.43%
iter 14: loss 2.6599, time 142.37ms, mfu 14.42%
iter 15: loss 2.5080, time 140.90ms, mfu 14.43%
iter 16: loss 2.3529, time 141.58ms, mfu 14.43%
iter 17: loss 2.2879, time 141.50ms, mfu 14.44%
iter 18: loss 2.4300, time 141.85ms, mfu 14.44%
iter 19: loss 2.3949, time 140.75ms, mfu 14.45%
iter 20: loss 2.3691, time 142.33ms, mfu 14.44%
iter 21: loss 2.2800, time 142.12ms, mfu 14.43%
iter 22: loss 2.4741, time 142.32ms, mfu 14.43%
iter 23: loss 2.2599, time 140.63ms, mfu 14.44%
iter 24: loss 2.3814, time 140.71ms, mfu 14.45%
iter 25: loss 2.0750, time 142.73ms, mfu 14.44%
iter 26: loss 2.4361, time 141.05ms, mfu 14.45%
iter 27: loss 2.3359, time 142.40ms, mfu 14.44%
iter 28: loss 2.2400, time 140.28ms, mfu 14.45%
iter 29: loss 2.2452, time 143.14ms, mfu 14.44%
iter 30: loss 2.1757, time 140.93ms, mfu 14.44%
iter 31: loss 2.2935, time 141.63ms, mfu 14.44%
iter 32: loss 2.0701, time 142.35ms, mfu 14.44%
iter 33: loss 2.2974, time 142.26ms, mfu 14.43%
iter 34: loss 2.1192, time 141.22ms, mfu 14.44%
iter 35: loss 2.4006, time 142.99ms, mfu 14.42%
iter 36: loss 1.8428, time 145.47ms, mfu 14.39%
iter 37: loss 1.9767, time 137.68ms, mfu 14.44%
iter 38: loss 2.2783, time 141.72ms, mfu 14.44%
iter 39: loss 2.3011, time 141.51ms, mfu 14.44%
iter 40: loss 2.4045, time 141.19ms, mfu 14.44%
iter 41: loss 2.1396, time 142.81ms, mfu 14.43%
iter 42: loss 2.2402, time 140.56ms, mfu 14.44%
iter 43: loss 2.0246, time 143.42ms, mfu 14.43%
iter 44: loss 2.0394, time 140.37ms, mfu 14.44%
iter 45: loss 1.9266, time 142.33ms, mfu 14.43%
iter 46: loss 2.1087, time 141.62ms, mfu 14.44%
iter 47: loss 2.2134, time 140.57ms, mfu 14.45%
iter 48: loss 2.0234, time 142.20ms, mfu 14.44%
iter 49: loss 2.1557, time 142.77ms, mfu 14.43%
iter 50: loss 2.3590, time 140.51ms, mfu 14.44%
iter 51: loss 2.0697, time 145.24ms, mfu 14.41%
iter 52: loss 2.2001, time 138.57ms, mfu 14.44%
iter 53: loss 2.0890, time 140.15ms, mfu 14.46%
iter 54: loss 2.0119, time 141.81ms, mfu 14.46%
iter 55: loss 1.9543, time 140.43ms, mfu 14.47%
iter 56: loss 2.0697, time 141.53ms, mfu 14.47%
iter 57: loss 2.1913, time 142.91ms, mfu 14.45%
iter 58: loss 2.2058, time 140.78ms, mfu 14.46%
iter 59: loss 1.9792, time 142.44ms, mfu 14.45%
iter 60: loss 2.3410, time 140.24ms, mfu 14.46%
iter 61: loss 2.1548, time 141.48ms, mfu 14.46%
iter 62: loss 1.9153, time 141.61ms, mfu 14.46%
iter 63: loss 2.1865, time 140.93ms, mfu 14.47%
iter 64: loss 2.0705, time 142.70ms, mfu 14.45%
iter 65: loss 2.2384, time 141.29ms, mfu 14.46%
iter 66: loss 2.1246, time 142.57ms, mfu 14.45%
iter 67: loss 2.1437, time 139.90ms, mfu 14.46%
iter 68: loss 1.9941, time 142.15ms, mfu 14.46%
iter 69: loss 2.1831, time 141.37ms, mfu 14.46%
iter 70: loss 2.2012, time 141.95ms, mfu 14.45%
iter 71: loss 1.9479, time 141.97ms, mfu 14.45%
iter 72: loss 2.0607, time 142.51ms, mfu 14.44%
iter 73: loss 1.9802, time 141.20ms, mfu 14.45%
iter 74: loss 2.0002, time 142.14ms, mfu 14.44%
iter 75: loss 1.9265, time 140.84ms, mfu 14.45%
iter 76: loss 1.9228, time 142.63ms, mfu 14.44%
iter 77: loss 2.1990, time 140.33ms, mfu 14.45%
iter 78: loss 2.1850, time 143.55ms, mfu 14.43%
iter 79: loss 2.1177, time 142.72ms, mfu 14.42%
iter 80: loss 1.9234, time 140.68ms, mfu 14.43%
iter 81: loss 2.1343, time 141.11ms, mfu 14.44%
iter 82: loss 2.1317, time 140.73ms, mfu 14.45%
iter 83: loss 2.1643, time 141.66ms, mfu 14.45%
iter 84: loss 1.9857, time 141.57ms, mfu 14.45%
iter 85: loss 2.0689, time 143.35ms, mfu 14.43%
iter 86: loss 2.3029, time 141.48ms, mfu 14.44%
iter 87: loss 1.9158, time 140.58ms, mfu 14.45%
iter 88: loss 2.2070, time 141.99ms, mfu 14.44%
iter 89: loss 2.1811, time 141.25ms, mfu 14.45%
iter 90: loss 2.0679, time 141.47ms, mfu 14.45%
iter 91: loss 2.1619, time 141.44ms, mfu 14.45%
iter 92: loss 2.1931, time 143.63ms, mfu 14.43%
