
step 0: train loss 11.0016, val loss 11.0015
iter 0: loss 11.0070, time 222707.47ms, mfu -100.00%
iter 1: loss 10.9784, time 63.09ms, mfu -100.00%
iter 2: loss 10.8863, time 1251.87ms, mfu -100.00%
iter 3: loss 10.6909, time 1282.50ms, mfu -100.00%
iter 4: loss 10.4319, time 1279.31ms, mfu -100.00%
iter 5: loss 10.1234, time 1274.53ms, mfu 2.20%
iter 6: loss 9.8526, time 1278.11ms, mfu 2.20%
iter 7: loss 9.6536, time 1277.84ms, mfu 2.20%
iter 8: loss 9.4090, time 1280.97ms, mfu 2.20%
iter 9: loss 9.1940, time 1280.98ms, mfu 2.20%
iter 10: loss 9.0322, time 1280.14ms, mfu 2.20%
iter 11: loss 8.9179, time 1294.26ms, mfu 2.19%
iter 12: loss 8.7359, time 1282.06ms, mfu 2.19%
iter 13: loss 8.5828, time 1291.18ms, mfu 2.19%
iter 14: loss 8.4992, time 1279.16ms, mfu 2.19%
iter 15: loss 8.3506, time 1280.58ms, mfu 2.19%
iter 16: loss 8.2279, time 1285.41ms, mfu 2.19%
iter 17: loss 8.0221, time 1277.98ms, mfu 2.19%
iter 18: loss 7.9011, time 1277.07ms, mfu 2.19%
iter 19: loss 7.7295, time 1286.10ms, mfu 2.19%
iter 20: loss 7.5865, time 1276.61ms, mfu 2.19%
iter 21: loss 7.5964, time 1291.33ms, mfu 2.19%
iter 22: loss 7.3283, time 1317.90ms, mfu 2.18%
iter 23: loss 7.2773, time 1315.15ms, mfu 2.18%
iter 24: loss 7.2254, time 1306.06ms, mfu 2.18%
iter 25: loss 7.1115, time 1275.54ms, mfu 2.18%
iter 26: loss 7.1705, time 1278.75ms, mfu 2.18%
iter 27: loss 6.9328, time 1274.13ms, mfu 2.18%
iter 28: loss 6.9451, time 1275.50ms, mfu 2.18%
iter 29: loss 6.8577, time 1276.85ms, mfu 2.18%
iter 30: loss 6.9140, time 1275.99ms, mfu 2.19%
iter 31: loss 6.7228, time 1276.14ms, mfu 2.19%
iter 32: loss 6.7259, time 1276.67ms, mfu 2.19%
iter 33: loss 6.6987, time 1274.86ms, mfu 2.19%
iter 34: loss 6.5459, time 1276.40ms, mfu 2.19%
iter 35: loss 6.4255, time 1275.95ms, mfu 2.19%
iter 36: loss 6.4499, time 1274.59ms, mfu 2.19%
iter 37: loss 6.3846, time 1273.98ms, mfu 2.19%
iter 38: loss 6.3979, time 1277.93ms, mfu 2.19%
iter 39: loss 6.3989, time 1273.23ms, mfu 2.19%
