
step 0: train loss 11.0016, val loss 11.0015
iter 0: loss 11.0070, time 208360.50ms, mfu -100.00%
iter 1: loss 10.9784, time 187.18ms, mfu -100.00%
iter 2: loss 10.8863, time 1039.39ms, mfu -100.00%
iter 3: loss 10.6909, time 428.87ms, mfu -100.00%
iter 4: loss 10.4319, time 321.08ms, mfu -100.00%
iter 5: loss 10.1234, time 425.74ms, mfu 6.59%
iter 6: loss 9.8526, time 329.70ms, mfu 6.78%
iter 7: loss 9.6536, time 418.53ms, mfu 6.77%
iter 8: loss 9.4090, time 330.39ms, mfu 6.95%
iter 9: loss 9.1939, time 421.39ms, mfu 6.92%
iter 10: loss 9.0322, time 328.65ms, mfu 7.08%
iter 11: loss 8.9179, time 420.83ms, mfu 7.04%
iter 12: loss 8.7358, time 333.29ms, mfu 7.18%
iter 13: loss 8.5828, time 418.78ms, mfu 7.13%
iter 14: loss 8.4992, time 327.90ms, mfu 7.27%
iter 15: loss 8.3507, time 423.35ms, mfu 7.21%
iter 16: loss 8.2278, time 328.09ms, mfu 7.34%
iter 17: loss 8.0221, time 421.31ms, mfu 7.27%
iter 18: loss 7.9010, time 329.39ms, mfu 7.40%
iter 19: loss 7.7296, time 416.69ms, mfu 7.33%
iter 20: loss 7.5866, time 324.99ms, mfu 7.46%
iter 21: loss 7.5963, time 422.69ms, mfu 7.38%
iter 22: loss 7.3283, time 325.32ms, mfu 7.50%
iter 23: loss 7.2774, time 418.63ms, mfu 7.42%
iter 24: loss 7.2254, time 330.85ms, mfu 7.53%
iter 25: loss 7.1115, time 420.30ms, mfu 7.44%
iter 26: loss 7.1705, time 326.98ms, mfu 7.56%
iter 27: loss 6.9328, time 421.65ms, mfu 7.47%
iter 28: loss 6.9452, time 329.73ms, mfu 7.57%
iter 29: loss 6.8577, time 419.80ms, mfu 7.48%
iter 30: loss 6.9141, time 333.30ms, mfu 7.58%
iter 31: loss 6.7228, time 419.49ms, mfu 7.49%
iter 32: loss 6.7258, time 328.51ms, mfu 7.59%
iter 33: loss 6.6987, time 420.48ms, mfu 7.50%
iter 34: loss 6.5460, time 327.68ms, mfu 7.61%
iter 35: loss 6.4256, time 417.72ms, mfu 7.52%
iter 36: loss 6.4500, time 334.60ms, mfu 7.60%
iter 37: loss 6.3849, time 421.68ms, mfu 7.51%
iter 38: loss 6.3977, time 325.85ms, mfu 7.62%
iter 39: loss 6.3989, time 424.46ms, mfu 7.52%
iter 40: loss 6.2513, time 330.33ms, mfu 7.62%
iter 41: loss 6.2648, time 418.55ms, mfu 7.52%
iter 42: loss 6.1782, time 333.61ms, mfu 7.61%
iter 43: loss 6.2103, time 421.72ms, mfu 7.52%
iter 44: loss 6.1250, time 326.51ms, mfu 7.62%
iter 45: loss 6.1756, time 426.60ms, mfu 7.52%
iter 46: loss 6.0796, time 327.62ms, mfu 7.62%
iter 47: loss 6.0867, time 419.62ms, mfu 7.53%
iter 48: loss 5.9845, time 335.75ms, mfu 7.61%
iter 49: loss 5.9514, time 422.21ms, mfu 7.52%
iter 50: loss 5.8374, time 323.44ms, mfu 7.63%
iter 51: loss 5.8828, time 422.98ms, mfu 7.53%
iter 52: loss 5.8309, time 328.96ms, mfu 7.63%
iter 53: loss 5.7090, time 415.59ms, mfu 7.54%
iter 54: loss 5.6460, time 326.48ms, mfu 7.65%
iter 55: loss 5.6256, time 419.39ms, mfu 7.55%
iter 56: loss 5.5970, time 324.21ms, mfu 7.66%
iter 57: loss 5.6399, time 420.72ms, mfu 7.56%
iter 58: loss 5.5589, time 329.23ms, mfu 7.66%
iter 59: loss 5.4940, time 420.46ms, mfu 7.56%
iter 60: loss 5.5220, time 328.75ms, mfu 7.66%
iter 61: loss 5.3903, time 425.78ms, mfu 7.55%
