
step 0: train loss 11.0016, val loss 11.0015
iter 0: loss 11.0070, time 208266.10ms, mfu -100.00%
iter 1: loss 10.9784, time 438.40ms, mfu -100.00%
iter 2: loss 10.8863, time 2560.20ms, mfu -100.00%
iter 3: loss 10.6909, time 436.86ms, mfu -100.00%
iter 4: loss 10.4319, time 342.69ms, mfu -100.00%
iter 5: loss 10.1234, time 432.41ms, mfu 6.49%
iter 6: loss 9.8526, time 343.05ms, mfu 6.66%
iter 7: loss 9.6536, time 441.82ms, mfu 6.63%
iter 8: loss 9.4090, time 340.46ms, mfu 6.79%
iter 9: loss 9.1938, time 433.13ms, mfu 6.76%
iter 10: loss 9.0322, time 348.75ms, mfu 6.89%
iter 11: loss 8.9179, time 438.46ms, mfu 6.84%
iter 12: loss 8.7359, time 342.33ms, mfu 6.97%
iter 13: loss 8.5827, time 440.15ms, mfu 6.91%
iter 14: loss 8.4991, time 341.81ms, mfu 7.04%
iter 15: loss 8.3506, time 430.54ms, mfu 6.99%
iter 16: loss 8.2279, time 342.23ms, mfu 7.11%
iter 17: loss 8.0221, time 436.73ms, mfu 7.04%
iter 18: loss 7.9010, time 342.94ms, mfu 7.16%
iter 19: loss 7.7295, time 436.29ms, mfu 7.08%
iter 20: loss 7.5865, time 347.91ms, mfu 7.18%
iter 21: loss 7.5962, time 472.84ms, mfu 7.06%
iter 22: loss 7.3283, time 340.67ms, mfu 7.17%
iter 23: loss 7.2774, time 432.60ms, mfu 7.11%
iter 24: loss 7.2255, time 344.74ms, mfu 7.21%
iter 25: loss 7.1115, time 435.03ms, mfu 7.13%
iter 26: loss 7.1705, time 339.15ms, mfu 7.25%
iter 27: loss 6.9329, time 437.20ms, mfu 7.16%
iter 28: loss 6.9451, time 343.94ms, mfu 7.26%
iter 29: loss 6.8577, time 429.97ms, mfu 7.19%
iter 30: loss 6.9141, time 345.42ms, mfu 7.28%
iter 31: loss 6.7228, time 435.00ms, mfu 7.20%
iter 32: loss 6.7258, time 340.04ms, mfu 7.30%
iter 33: loss 6.6987, time 432.51ms, mfu 7.22%
iter 34: loss 6.5460, time 342.74ms, mfu 7.32%
iter 35: loss 6.4256, time 430.12ms, mfu 7.24%
iter 36: loss 6.4500, time 343.92ms, mfu 7.33%
iter 37: loss 6.3849, time 435.37ms, mfu 7.24%
iter 38: loss 6.3977, time 344.96ms, mfu 7.33%
iter 39: loss 6.3989, time 428.76ms, mfu 7.25%
iter 40: loss 6.2514, time 347.47ms, mfu 7.33%
iter 41: loss 6.2648, time 434.59ms, mfu 7.25%
iter 42: loss 6.1782, time 341.03ms, mfu 7.34%
iter 43: loss 6.2104, time 436.42ms, mfu 7.25%
iter 44: loss 6.1250, time 343.54ms, mfu 7.34%
iter 45: loss 6.1757, time 436.06ms, mfu 7.25%
iter 46: loss 6.0797, time 340.65ms, mfu 7.35%
iter 47: loss 6.0867, time 433.33ms, mfu 7.26%
iter 48: loss 5.9844, time 352.04ms, mfu 7.33%
iter 49: loss 5.9515, time 431.33ms, mfu 7.25%
iter 50: loss 5.8375, time 343.27ms, mfu 7.34%
iter 51: loss 5.8829, time 436.75ms, mfu 7.25%
iter 52: loss 5.8310, time 337.96ms, mfu 7.36%
iter 53: loss 5.7089, time 430.16ms, mfu 7.27%
iter 54: loss 5.6460, time 343.55ms, mfu 7.36%
iter 55: loss 5.6256, time 431.49ms, mfu 7.28%
iter 56: loss 5.5971, time 339.64ms, mfu 7.37%
iter 57: loss 5.6399, time 438.34ms, mfu 7.28%
iter 58: loss 5.5589, time 341.61ms, mfu 7.37%
iter 59: loss 5.4939, time 429.01ms, mfu 7.29%
iter 60: loss 5.5220, time 343.27ms, mfu 7.38%
iter 61: loss 5.3903, time 436.27ms, mfu 7.28%
iter 62: loss 5.4381, time 334.09ms, mfu 7.39%
iter 63: loss 5.2266, time 438.40ms, mfu 7.29%
iter 64: loss 5.2787, time 340.40ms, mfu 7.39%
iter 65: loss 5.2013, time 433.53ms, mfu 7.30%
iter 66: loss 5.1320, time 335.63ms, mfu 7.40%
iter 67: loss 5.1633, time 434.73ms, mfu 7.31%
iter 68: loss 5.1405, time 343.55ms, mfu 7.39%
iter 69: loss 5.0369, time 431.08ms, mfu 7.31%
iter 70: loss 4.9999, time 340.50ms, mfu 7.40%
iter 71: loss 4.9714, time 435.07ms, mfu 7.30%
iter 72: loss 4.9085, time 337.74ms, mfu 7.40%
iter 73: loss 4.8607, time 432.18ms, mfu 7.31%
iter 74: loss 4.8851, time 337.97ms, mfu 7.41%
iter 75: loss 4.9211, time 431.30ms, mfu 7.32%
iter 76: loss 4.7453, time 338.02ms, mfu 7.42%
iter 77: loss 4.8567, time 437.00ms, mfu 7.32%
iter 78: loss 4.7747, time 341.67ms, mfu 7.41%
iter 79: loss 4.7572, time 427.24ms, mfu 7.32%
iter 80: loss 4.5958, time 344.65ms, mfu 7.41%
iter 81: loss 4.6857, time 431.77ms, mfu 7.31%
iter 82: loss 4.6413, time 336.36ms, mfu 7.42%
iter 83: loss 4.6936, time 438.48ms, mfu 7.32%
iter 84: loss 4.5791, time 351.11ms, mfu 7.38%
iter 85: loss 4.5334, time 437.39ms, mfu 7.29%
iter 86: loss 4.5933, time 338.17ms, mfu 7.39%
iter 87: loss 4.5541, time 438.45ms, mfu 7.29%
iter 88: loss 4.4693, time 337.80ms, mfu 7.39%
iter 89: loss 4.4012, time 431.75ms, mfu 7.30%
iter 90: loss 4.4800, time 349.12ms, mfu 7.37%
iter 91: loss 4.4421, time 435.15ms, mfu 7.28%
iter 92: loss 4.4376, time 339.64ms, mfu 7.38%
iter 93: loss 4.4112, time 433.01ms, mfu 7.29%
iter 94: loss 4.2731, time 343.69ms, mfu 7.38%
iter 95: loss 4.3275, time 431.53ms, mfu 7.29%
iter 96: loss 4.2761, time 337.05ms, mfu 7.39%
iter 97: loss 4.3589, time 440.65ms, mfu 7.29%
iter 98: loss 4.3304, time 336.61ms, mfu 7.39%
iter 99: loss 4.2334, time 427.98ms, mfu 7.31%
iter 100: loss 4.3020, time 343.31ms, mfu 7.40%
iter 101: loss 4.2781, time 432.05ms, mfu 7.31%
iter 102: loss 4.2131, time 338.55ms, mfu 7.40%
iter 103: loss 4.2399, time 433.62ms, mfu 7.31%
iter 104: loss 4.2281, time 343.73ms, mfu 7.40%
iter 105: loss 4.2059, time 432.56ms, mfu 7.30%
iter 106: loss 4.2774, time 338.19ms, mfu 7.40%
iter 107: loss 4.1614, time 433.30ms, mfu 7.31%
iter 108: loss 4.2749, time 344.96ms, mfu 7.39%
iter 109: loss 4.2722, time 431.63ms, mfu 7.30%
iter 110: loss 4.1261, time 344.19ms, mfu 7.39%
iter 111: loss 4.2102, time 440.98ms, mfu 7.29%
iter 112: loss 4.1675, time 341.92ms, mfu 7.38%
iter 113: loss 4.1885, time 427.11ms, mfu 7.30%
iter 114: loss 4.1847, time 341.64ms, mfu 7.39%
iter 115: loss 4.1522, time 431.00ms, mfu 7.30%
iter 116: loss 4.1684, time 341.64ms, mfu 7.39%
iter 117: loss 4.1463, time 435.53ms, mfu 7.30%
iter 118: loss 4.0698, time 341.18ms, mfu 7.39%
iter 119: loss 4.2020, time 426.83ms, mfu 7.31%
iter 120: loss 4.1384, time 340.85ms, mfu 7.40%
iter 121: loss 4.1787, time 434.93ms, mfu 7.30%
iter 122: loss 4.1088, time 338.61ms, mfu 7.40%
iter 123: loss 4.1495, time 435.03ms, mfu 7.31%
iter 124: loss 4.1173, time 339.03ms, mfu 7.40%
iter 125: loss 4.1103, time 431.18ms, mfu 7.31%
iter 126: loss 4.0620, time 337.31ms, mfu 7.41%
iter 127: loss 4.0029, time 441.61ms, mfu 7.31%
iter 128: loss 4.0738, time 341.26ms, mfu 7.40%
iter 129: loss 3.9830, time 432.82ms, mfu 7.31%
iter 130: loss 3.9551, time 343.00ms, mfu 7.39%
iter 131: loss 4.0452, time 433.13ms, mfu 7.30%
iter 132: loss 4.0019, time 338.99ms, mfu 7.40%
iter 133: loss 4.0435, time 435.81ms, mfu 7.30%
iter 134: loss 3.9912, time 340.10ms, mfu 7.40%
iter 135: loss 4.0589, time 428.10ms, mfu 7.31%
iter 136: loss 3.9031, time 341.31ms, mfu 7.40%
iter 137: loss 4.0355, time 438.63ms, mfu 7.30%
iter 138: loss 4.0112, time 336.18ms, mfu 7.41%
iter 139: loss 3.9385, time 429.59ms, mfu 7.32%
iter 140: loss 4.0451, time 342.72ms, mfu 7.41%
iter 141: loss 3.9946, time 430.50ms, mfu 7.32%
iter 142: loss 4.0158, time 337.09ms, mfu 7.42%
iter 143: loss 4.0168, time 440.05ms, mfu 7.31%
iter 144: loss 3.9515, time 339.21ms, mfu 7.41%
iter 145: loss 4.0298, time 432.56ms, mfu 7.32%
iter 146: loss 4.0335, time 340.08ms, mfu 7.41%
iter 147: loss 3.9310, time 436.45ms, mfu 7.31%
iter 148: loss 4.0101, time 334.66ms, mfu 7.42%
iter 149: loss 4.0241, time 429.94ms, mfu 7.33%
iter 150: loss 3.9883, time 345.17ms, mfu 7.41%
iter 151: loss 3.9854, time 433.36ms, mfu 7.32%
iter 152: loss 3.9997, time 338.89ms, mfu 7.41%
iter 153: loss 4.0470, time 440.34ms, mfu 7.31%
iter 154: loss 3.9370, time 339.74ms, mfu 7.40%
iter 155: loss 3.9841, time 432.06ms, mfu 7.31%
iter 156: loss 3.9541, time 339.61ms, mfu 7.41%
iter 157: loss 3.9183, time 436.77ms, mfu 7.31%
iter 158: loss 3.9600, time 337.58ms, mfu 7.41%
iter 159: loss 3.9699, time 432.28ms, mfu 7.32%
iter 160: loss 3.9371, time 341.51ms, mfu 7.41%
iter 161: loss 3.9998, time 431.69ms, mfu 7.32%
iter 162: loss 3.9321, time 339.56ms, mfu 7.41%
iter 163: loss 3.9370, time 436.51ms, mfu 7.31%
iter 164: loss 3.9489, time 343.89ms, mfu 7.40%
iter 165: loss 3.9436, time 430.89ms, mfu 7.31%
iter 166: loss 3.8730, time 340.54ms, mfu 7.40%
iter 167: loss 3.9598, time 436.56ms, mfu 7.30%
iter 168: loss 3.9244, time 339.90ms, mfu 7.40%
iter 169: loss 3.9823, time 436.18ms, mfu 7.30%
iter 170: loss 3.8446, time 337.54ms, mfu 7.40%
iter 171: loss 3.9359, time 439.40ms, mfu 7.30%
iter 172: loss 3.8610, time 336.32ms, mfu 7.41%
iter 173: loss 3.8721, time 437.89ms, mfu 7.31%
iter 174: loss 3.8944, time 339.96ms, mfu 7.40%
iter 175: loss 3.9279, time 433.67ms, mfu 7.31%
iter 176: loss 4.0010, time 345.04ms, mfu 7.39%
iter 177: loss 3.8463, time 431.60ms, mfu 7.30%
iter 178: loss 3.9276, time 338.99ms, mfu 7.40%
iter 179: loss 3.9288, time 435.57ms, mfu 7.30%
iter 180: loss 3.9184, time 343.96ms, mfu 7.39%
iter 181: loss 3.9382, time 430.43ms, mfu 7.30%
iter 182: loss 3.9310, time 339.86ms, mfu 7.40%
iter 183: loss 3.9606, time 439.18ms, mfu 7.30%
iter 184: loss 3.7926, time 337.97ms, mfu 7.40%
iter 185: loss 4.0015, time 435.86ms, mfu 7.30%
iter 186: loss 3.8885, time 340.85ms, mfu 7.39%
iter 187: loss 3.8488, time 438.96ms, mfu 7.29%
iter 188: loss 3.8586, time 342.18ms, mfu 7.38%
iter 189: loss 3.7902, time 435.78ms, mfu 7.29%
iter 190: loss 3.9783, time 343.41ms, mfu 7.38%
iter 191: loss 3.8295, time 433.26ms, mfu 7.29%
iter 192: loss 3.8842, time 337.55ms, mfu 7.39%
iter 193: loss 3.8797, time 438.22ms, mfu 7.29%
iter 194: loss 3.8684, time 339.04ms, mfu 7.39%
iter 195: loss 3.8456, time 433.59ms, mfu 7.30%
iter 196: loss 3.7661, time 350.24ms, mfu 7.37%
iter 197: loss 3.9338, time 432.00ms, mfu 7.28%
iter 198: loss 3.8809, time 335.61ms, mfu 7.39%
iter 199: loss 3.8129, time 436.30ms, mfu 7.29%
iter 200: loss 3.8636, time 339.80ms, mfu 7.39%
iter 201: loss 3.8226, time 429.02ms, mfu 7.30%
iter 202: loss 3.8633, time 337.18ms, mfu 7.41%
iter 203: loss 3.8959, time 437.34ms, mfu 7.31%
iter 204: loss 3.8218, time 337.48ms, mfu 7.41%
iter 205: loss 3.8366, time 433.92ms, mfu 7.31%
iter 206: loss 3.8948, time 343.75ms, mfu 7.40%
iter 207: loss 3.8325, time 434.42ms, mfu 7.30%
iter 208: loss 3.8825, time 341.48ms, mfu 7.39%
iter 209: loss 3.8529, time 438.83ms, mfu 7.29%
iter 210: loss 3.7600, time 340.67ms, mfu 7.39%
